1,ابومسلم مشهد,Abumoslem Mashhad,ABU,abumoslem_mashhad
2,برق شیراز,Bargh Shiraz,BAR,bargh_shiraz
3,استقلال رشت,Esteghlal Rasht,ESR,esteghlal_rasht
4,استقلال تهران,Esteghlal Tehran,EST,esteghlal_tehran
5,فجر سپاسی شیراز,Fajr Sepasi Shiraz,FAJ,fajr_sepasi_shiraz
6,فولاد خوزستان,Foolad Khuzestan,FUL,foolad_khuzestan
7,ملوان انزلی,Malavan Anzali,MAL,malavan_anzali
8,پاس تهران,Paas Tehran,PAS,paas_tehran
9,پیکان تهران,Paykan Tehran,PEY,paykan_tehran
10,پرسپولیس تهران,Perspolis Tehran,PER,perspolis_tehran
11,سایپای البرز,Saipa Alborz,SAI,saipa_alborz
12,سپاهان اصفهان,Sepahan Esfahan,SEP,sepahan_esfahan
13,تراکتور تبریز,Teraktor Tabriz,TER,teraktor_tabriz
14,ذوب آهن اصفهان,Zob Ahan Esfahan,ZOB,zob_ahan_esfahan
15,استقلال اهواز,Esteghlal Ahwaz,ESA,esteghlal_ahwaz
16,صنعت نفت آبادان,Sanat Naft Abadan,SAN,sanat_naft_abadan
17,پگاه رشت,Pegah Rasht,PEG,pegah_rasht
18,شموشک نوشهر,Shamooshak Noshahr,SHN,shamooshak_noshahr
19,صبای قم,Saba Qom,SAB,saba_qom
20,شهید قندی یزد,Ghandi Yazd,QAN,ghandi_yazd
21,راه آهن تهران,Rah Ahan Tehran,RAH,rah_ahan_tehran
22,مس کرمان,Mes Kerman,MEK,mes_kerman
23,پاس همدان,Paas Hamedan,PAH,paas_hamedan
24,شیرین فراز کرمانشاه,Shirin Faraz Kermanshah,SHF,shirin_faraz_kermanshah
25,پیام خراسان,Payam Khorasan,PAY,payam_khorasan
26,شاهین بوشهر,Shahin Bushehr,SHB,shahin_bushehr
27,استیل آذین تهران,Steel Azin Tehran,STL,steel_azin_tehran
28,نفت تهران,Naft Tehran,NAF,naft_tehran
29,شهرداری تبریز,Shahrdari Tabriz,SHT,shahrdari_tabriz
30,داماش گیلان,Damash Gilan,DAM,damash_gilan
31,مس سرچشمه,Mes Sarcheshme,MEC,mes_sarcheshme
32,آلومینیوم هرمزگان,Aluminium Hormozgan,ALH,aluminium_hormozgan
33,گهر درود,Gahar Dorud,GAH,gahar_dorud
34,استقلال خوزستان,Esteghlal Khuzestan,ESK,esteghlal_khuzestan
35,گسترش فولاد تبریز,Gostaresh Fulad Tabriz,GOS,gostaresh_fulad_tabriz
36,نفت مسجد سلیمان,Naft Masjed Soleiman,NAM,naft_masjed_soleiman
37,پدیده مشهد,Padideh Mashhad,PAD,padideh_mashhad
38,سیاه جامگان مشهد,Siah Jamegan Mashhad,SIA,siah_jamegan_mashhad
39,ماشین سازی تبریز,Mashin Sazi Tabriz,MAS,mashin_sazi_tabriz
40,پارس جنوبی جم,Pars Jonobi Jam,PAR,pars_jonobi_jam
41,سپیدرود رشت,Sepid Rood Rasht,SPD,sepid_rood_rasht
42,نساجی مازندران,Nassaji Mazandaran,NAS,nassaji_mazandaran
43,گل گهر سیرجان,Gol Gohar Sirjan,GGS,gol_gohar_sirjan
44,آلومینیوم اراک,Aluminium Arak,ALA,aluminium_arak
45,مس رفسنجان,Mes Rafsanjan,MER,mes_rafsanjan
46,هوادار تهران,Havadar Tehran,HAV,havadar_tehran
47,شمس آذر قزوین,Shams Azar Qazvin,SHM,shams_azar_qazvin
48,چادرملو یزد,Chador Malu Ardekan,CHA,chador_malu_ardekan
49,خیبر خرم آباد,Khaybar Khoram Abad,KHE,khaybar_khoram_abad
